text,label
Prices reduced for essential medicines under new scheme,Real
IIT Madras launches 5G research hub with global partners,Real
Women's cricket team reaches T20 World Cup finals,Real
New cybersecurity policy to protect digital infrastructure,Real
Major traffic restrictions announced for G20 Summit,Real
Government launches AI-based disaster alert system,Real
Drinking hot water every 15 minutes kills coronavirus instantly,Fake
Indian government to shut down all ATMs permanently next month,Fake
"5G towers are spreading brain cancer, experts warn",Fake
NASA confirms Sun will rise from the West next year,Fake
India to replace currency with plastic coins from 2026,Fake
Bollywood actor arrested for insulting national flag in secret video,Fake
Government will deposit 15 lakh in every citizen's bank account this year,Fake
WhatsApp messages reveal onions are infected with deadly virus,Fake
Banning non-veg food will completely stop air pollution,Fake
ISRO confirms aliens living under Himalayan caves,Fake
New traffic rule: helmet compulsory for car passengers too,Fake
Government announces free cars for all citizens under new scheme,Fake
Milk packets contain microchips to track citizens,Fake
Scientists say drinking petrol cures cough and cold,Fake
India cancels all board exams forever from next year,Fake
COVID vaccine contains magnets to control population,Fake
Rupee to become the strongest currency globally from January,Fake
Schools forced to teach astrology as main subject,Fake
Red sky in Delhi caused by government secret experiment,Fake
Government planning to remove Hindi and English permanently,Fake
WhatsApp forwards prove moon landing was filmed in Rajasthan,Fake
Pan masala to be used as fuel in future vehicles,Fake
Government announces mandatory marriage before age 25,Fake
People with Aadhar ending in 0 will get free flights,Fake
New rule: Facebook likes will affect marks in board exams,Fake
Railways replacing wheels with magnetic hover system,Fake
Alcohol mixed with sanitizer gives super immunity,Fake
Government planning to shift India's capital to Varanasi,Fake
All phones will stop working in India after 7pm due to radiation,Fake
Drinking turmeric milk makes you invisible to mosquitoes,Fake
WhatsApp warns toothpaste contains sleeping chemicals,Fake
New zebra crossing removes fines for pedestrians,Fake
India to use robots to replace all teachers in school,Fake
Scientists discover cows can speak Sanskrit fluently,Fake
Wi-Fi signals reduce lifespan by 20 years claims report,Fake
People with small ears more likely to become billionaires,Fake
New rule: selfie required for entering bank ATMs,Fake
Using Instagram filter can grow real hair,Fake
Drinking cold water causes heart to freeze instantly,Fake
Government to replace trains with giant electric scooters,Fake

